Wavlength (nm);475-20 REF;475-20;475-20 %;110%;560-20 REF;560-20;560-20 %;100%;668-10 REF;668-10;668-10 %;97%;717-10 REF;717-10;717-10 %;107%;840-40 REF;840-40;840-40 %;106%;;;;
736;9.723913;0.002965;0.0%;;9.712157;0.064197;0.7%;;9.682716;0.003067;0.0%;;9.561274;0.038436;0.4%;;9.647245;0.004012;0.0%;;;;;
737;9.744162;0.004982;0.1%;;9.722078;0.059986;0.6%;;9.679964;0.004211;0.0%;;9.593169;0.028761;0.3%;;9.686949;0.004314;0.0%;;;;;
738;9.793011;0.001639;0.0%;;9.778056;0.058693;0.6%;;9.826813;0.006043;0.1%;;9.626049;0.039333;0.4%;;9.714447;0.004661;0.1%;;;;;
739;9.798925;0.002936;0.0%;;9.800471;0.052338;0.5%;;9.804901;0.004121;0.0%;;9.651287;0.035441;0.4%;;9.766369;0.003683;0.0%;;;;;
740;9.807734;0.003142;0.0%;;9.806909;0.043476;0.4%;;9.788056;0.010405;0.1%;;9.650417;0.018956;0.2%;;9.75581;0.003683;0.0%;;;;;
741;9.849159;0.003962;0.0%;;9.834876;0.049105;0.5%;;9.786813;0.009696;0.1%;;9.681409;0.017515;0.2%;;9.798281;0.004509;0.0%;;;;;
742;9.812554;0.003303;0.0%;;9.828285;0.051073;0.5%;;9.814337;0.006397;0.1%;;9.646227;0.02433;0.3%;;9.789272;0.004378;0.0%;;;;;
743;9.896748;0.00122;0.0%;;9.879987;0.051237;0.5%;;9.813687;0.009335;0.1%;;9.724049;0.016973;0.2%;;9.861211;0.006895;0.1%;;;;;
744;9.915474;0.004;0.0%;;9.908221;0.052687;0.5%;;9.918033;0.012159;0.1%;;9.751332;0.025597;0.3%;;9.859693;0.006613;0.1%;;;;;
745;9.913108;0.003064;0.0%;;9.922353;0.061702;0.6%;;9.915366;0.010105;0.1%;;9.75853;0.024939;0.3%;;9.832702;0.005617;0.1%;;;;;
746;10.003183;0.003065;0.0%;;9.982825;0.078805;0.8%;;10.067759;0.006458;0.1%;;9.808031;0.024517;0.3%;;9.910806;0.004433;0.0%;;;;;
747;10.021557;0.004012;0.0%;;10.015204;0.085149;0.9%;;9.918242;0.007579;0.1%;;9.834877;0.021399;0.2%;;9.948779;0.004904;0.1%;;;;;
748;10.046298;0.003379;0.0%;;10.036273;0.106;1.1%;;10.019151;0.006533;0.1%;;9.887919;0.020727;0.2%;;9.971614;0.004844;0.1%;;;;;
749;9.99915;0.005838;0.1%;;10.000511;0.143172;1.4%;;9.946552;0.008615;0.1%;;9.820724;0.021765;0.2%;;9.946665;0.003627;0.0%;;;;;
750;10.072895;0.004285;0.0%;;10.0722;0.1896;1.9%;;9.995873;0.012509;0.1%;;9.869628;0.027797;0.3%;;9.994136;0.00388;0.0%;;;;;
751;10.049922;0.003656;0.0%;;10.052939;0.215164;2.1%;;10.118045;0.009516;0.1%;;9.858317;0.023211;0.3%;;9.996421;0.006006;0.1%;;;;;
752;10.057555;0.001235;0.0%;;10.062494;0.221319;2.2%;;10.030625;0.012583;0.1%;;9.865518;0.031987;0.3%;;10.009928;0.005204;0.1%;;;;;
753;10.086018;0.004285;0.0%;;10.098872;0.190904;1.9%;;10.090779;0.010236;0.1%;;9.88833;0.02666;0.3%;;10.036507;0.005921;0.1%;;;;;
754;10.121723;0.002588;0.0%;;10.091274;0.135881;1.3%;;10.132916;0.004694;0.0%;;9.891003;0.035625;0.4%;;10.023634;0.004363;0.0%;;;;;
755;10.159824;0.003197;0.0%;;10.143718;0.09725;1.0%;;10.087409;0.009467;0.1%;;9.94676;0.025573;0.3%;;10.067615;0.006147;0.1%;;;;;
756;10.172952;0.003279;0.0%;;10.151298;0.080804;0.8%;;10.204259;0.011013;0.1%;;9.959126;0.023758;0.3%;;10.106008;0.006589;0.1%;;;;;
757;10.20688;0.004599;0.0%;;10.189241;0.059214;0.6%;;10.151571;0.013103;0.1%;;10.00467;0.021166;0.2%;;10.146532;0.005921;0.1%;;;;;
758;10.261287;0.028293;0.3%;;10.248456;0.075703;0.7%;;10.252561;0.030795;0.3%;;10.04983;0.044139;0.5%;;10.196618;0.027523;0.3%;;;;;
759;10.220249;0.009085;0.1%;;10.16793;0.045876;0.5%;;10.181461;0.016237;0.2%;;10.009811;0.024742;0.3%;;10.157363;0.011985;0.1%;;;;;
760;10.202063;0.003325;0.0%;;10.208192;0.031947;0.3%;;10.135431;0.01643;0.2%;;9.992647;0.016691;0.2%;;10.156164;0.007889;0.1%;;;;;
761;10.289092;0.002201;0.0%;;10.280155;0.027211;0.3%;;10.214262;0.010938;0.1%;;10.026853;0.027745;0.3%;;10.223466;0.006869;0.1%;;;;;
762;10.26994;0.00315;0.0%;;10.253722;0.02426;0.2%;;10.251041;0.016084;0.2%;;10.016345;0.035385;0.4%;;10.20386;0.008344;0.1%;;;;;
763;10.281689;0.002858;0.0%;;10.261002;0.023409;0.2%;;10.260729;0.014154;0.1%;;10.058079;0.040285;0.4%;;10.227113;0.007622;0.1%;;;;;
764;10.2761;0.002546;0.0%;;10.25642;0.017753;0.2%;;10.36473;0.015276;0.1%;;10.049984;0.040737;0.4%;;10.218436;0.00781;0.1%;;;;;
765;10.287047;0.002901;0.0%;;10.259695;0.020445;0.2%;;10.249058;0.010913;0.1%;;10.06077;0.027628;0.3%;;10.208721;0.009014;0.1%;;;;;
766;10.331492;0.005016;0.1%;;10.333046;0.024019;0.2%;;10.385039;0.009325;0.1%;;10.089188;0.03956;0.4%;;10.268903;0.007629;0.1%;;;;;
767;10.370554;0.003667;0.0%;;10.372855;0.023586;0.2%;;10.403056;0.008197;0.1%;;10.163747;0.033365;0.4%;;10.306124;0.006687;0.1%;;;;;
768;10.367971;0.004774;0.1%;;10.374482;0.019821;0.2%;;10.393724;0.013021;0.1%;;10.135038;0.021991;0.2%;;10.277691;0.010236;0.1%;;;;;
769;10.403558;0.004696;0.0%;;10.399156;0.017757;0.2%;;10.415885;0.010273;0.1%;;10.155841;0.037569;0.4%;;10.317268;0.01207;0.1%;;;;;
770;10.413519;0.005442;0.1%;;10.421123;0.0164;0.2%;;10.455713;0.011928;0.1%;;10.172284;0.023855;0.3%;;10.357757;0.010884;0.1%;;;;;
771;10.422093;0.006187;0.1%;;10.406248;0.015543;0.1%;;10.35811;0.013732;0.1%;;10.205998;0.027766;0.3%;;10.360524;0.012563;0.1%;;;;;
772;10.431997;0.003654;0.0%;;10.410835;0.008373;0.1%;;10.488935;0.017508;0.2%;;10.205307;0.03532;0.4%;;10.346893;0.011875;0.1%;;;;;
773;10.461749;0.003177;0.0%;;10.470892;0.014412;0.1%;;10.569759;0.011002;0.1%;;10.234263;0.032232;0.3%;;10.414176;0.011157;0.1%;;;;;
774;10.517626;0.002042;0.0%;;10.473646;0.016336;0.2%;;10.520139;0.008639;0.1%;;10.257827;0.042724;0.4%;;10.443802;0.012762;0.1%;;;;;
775;10.535156;0.003162;0.0%;;10.490261;0.018021;0.2%;;10.491525;0.007272;0.1%;;10.262466;0.040469;0.4%;;10.443627;0.012488;0.1%;;;;;
776;10.590489;0.003055;0.0%;;10.552868;0.016399;0.2%;;10.544187;0.016399;0.2%;;10.303991;0.0373;0.4%;;10.495794;0.015515;0.2%;;;;;
777;10.51896;0.002514;0.0%;;10.513607;0.015898;0.2%;;10.582228;0.015249;0.1%;;10.266214;0.031147;0.3%;;10.468995;0.016628;0.2%;;;;;
778;10.528293;0.004664;0.0%;;10.520274;0.01522;0.1%;;10.534349;0.013256;0.1%;;10.260058;0.031422;0.3%;;10.464794;0.01657;0.2%;;;;;
779;10.551906;0.007568;0.1%;;10.548246;0.015802;0.1%;;10.560556;0.017798;0.2%;;10.312876;0.043914;0.5%;;10.498677;0.015012;0.2%;;;;;
780;10.522676;0.008912;0.1%;;10.518677;0.018824;0.2%;;10.461704;0.018991;0.2%;;10.262632;0.037316;0.4%;;10.448877;0.018033;0.2%;;;;;
781;10.554631;0.003972;0.0%;;10.555814;0.019269;0.2%;;10.566294;0.021298;0.2%;;10.316977;0.031101;0.3%;;10.488203;0.016565;0.2%;;;;;
782;10.603251;0.003072;0.0%;;10.589766;0.019458;0.2%;;10.593351;0.012972;0.1%;;10.337154;0.01502;0.2%;;10.506302;0.016855;0.2%;;;;;
783;10.622566;0.003549;0.0%;;10.58829;0.015407;0.1%;;10.5554;0.011771;0.1%;;10.323955;0.013849;0.1%;;10.514546;0.017441;0.2%;;;;;
784;10.644354;0.002467;0.0%;;10.600644;0.020092;0.2%;;10.526972;0.013395;0.1%;;10.369054;0.03525;0.4%;;10.553762;0.016215;0.2%;;;;;
785;10.627966;0.002575;0.0%;;10.609494;0.025754;0.2%;;10.520333;0.015807;0.1%;;10.354798;0.032681;0.3%;;10.556743;0.018916;0.2%;;;;;
786;10.662838;0.005298;0.1%;;10.61327;0.027119;0.3%;;10.634821;0.018139;0.2%;;10.353936;0.012931;0.1%;;10.526346;0.022674;0.2%;;;;;
787;10.70118;0.005626;0.1%;;10.657806;0.021596;0.2%;;10.627318;0.02214;0.2%;;10.36472;0.030488;0.3%;;10.586123;0.027086;0.3%;;;;;
788;10.624234;0.006794;0.1%;;10.629008;0.018177;0.2%;;10.640575;0.023318;0.2%;;10.323848;0.041129;0.4%;;10.551341;0.025981;0.3%;;0.3%;;;
789;10.647909;0.007299;0.1%;;10.609845;0.02125;0.2%;;10.54277;0.021434;0.2%;;10.323806;0.041391;0.4%;;10.541292;0.024576;0.2%;;0.2%;;;
790;10.674128;0.007028;0.1%;;10.652201;0.02024;0.2%;;10.62053;0.015554;0.1%;;10.360414;0.052473;0.5%;;10.557;0.029516;0.3%;;0.3%;;;
791;10.647272;0.003385;0.0%;;10.658179;0.020121;0.2%;;10.633169;0.020498;0.2%;;10.358426;0.030088;0.3%;;10.557196;0.031217;0.3%;;0.3%;;;
792;10.707657;0.006345;0.1%;;10.709579;0.018458;0.2%;;10.736497;0.012882;0.1%;;10.403866;0.030764;0.3%;;10.615174;0.03557;0.4%;;0.4%;;;
793;10.706513;0.004602;0.0%;;10.727222;0.023776;0.2%;;10.636526;0.012272;0.1%;;10.412951;0.029145;0.3%;;10.60949;0.044485;0.4%;;0.4%;;;
794;10.676192;0.005737;0.1%;;10.669191;0.033059;0.3%;;10.584989;0.015557;0.1%;;10.344244;0.045115;0.5%;;10.590434;0.050901;0.5%;;0.5%;;;
795;10.724235;0.003349;0.0%;;10.737631;0.039993;0.4%;;10.723644;0.015367;0.1%;;10.433251;0.018913;0.2%;;10.653705;0.05403;0.5%;;0.5%;;;
796;10.756252;0.004196;0.0%;;10.763645;0.041562;0.4%;;10.751656;0.017184;0.2%;;10.440544;0.017584;0.2%;;10.662339;0.061693;0.6%;;0.6%;;;
797;10.776124;0.005239;0.1%;;10.73965;0.034459;0.3%;;10.77552;0.014509;0.1%;;10.427903;0.025794;0.3%;;10.667708;0.067911;0.7%;;0.7%;;;
798;10.769732;0.007413;0.1%;;10.709413;0.052195;0.5%;;10.619442;0.014217;0.1%;;10.443358;0.03737;0.4%;;10.682604;0.085097;0.8%;;0.8%;;;
799;10.750303;0.006458;0.1%;;10.713196;0.045717;0.4%;;10.817956;0.012096;0.1%;;10.424542;0.024601;0.3%;;10.628117;0.103684;1.0%;;1.0%;;;
800;10.76987;0.005401;0.1%;;10.75138;0.05443;0.5%;;10.836142;0.024307;0.2%;;10.440589;0.023268;0.2%;;10.653739;0.130154;1.3%;;1.3%;;;
801;10.778867;0.005005;0.1%;;10.745711;0.047336;0.4%;;10.726735;0.02273;0.2%;;10.435837;0.020019;0.2%;;10.662508;0.150297;1.5%;;1.5%;;;
802;10.791583;0.002011;0.0%;;10.77761;0.050179;0.5%;;10.769141;0.019902;0.2%;;10.479078;0.010163;0.1%;;10.692708;0.189017;1.9%;;1.9%;;;
803;10.828772;0.005369;0.1%;;10.804506;0.053471;0.5%;;10.788615;0.020186;0.2%;;10.525127;0.024051;0.2%;;10.734286;0.236806;2.3%;;2.3%;;;
804;10.896743;0.005777;0.1%;;10.811725;0.051883;0.5%;;10.861428;0.015914;0.1%;;10.492361;0.036623;0.4%;;10.758316;0.300507;3.0%;;3.0%;;;
805;10.866212;0.005143;0.1%;;10.821133;0.053832;0.5%;;10.801439;0.012911;0.1%;;10.492232;0.042015;0.4%;;10.736665;0.359811;3.6%;;3.6%;;;
806;10.850871;0.009029;0.1%;;10.817616;0.040962;0.4%;;10.866947;0.012993;0.1%;;10.505553;0.051093;0.5%;;10.757494;0.460993;4.5%;;4.5%;;;
807;10.927254;0.006298;0.1%;;10.861803;0.044309;0.4%;;10.911285;0.023392;0.2%;;10.548715;0.035987;0.4%;;10.792078;0.601041;5.9%;;5.9%;;;
808;10.847006;0.003471;0.0%;;10.826406;0.043887;0.4%;;10.790804;0.011196;0.1%;;10.544276;0.035826;0.4%;;10.767741;0.793995;7.8%;;7.8%;;;
809;10.904322;0.005139;0.1%;;10.86207;0.037913;0.3%;;10.834891;0.0185;0.2%;;10.553056;0.034716;0.4%;;10.751072;1.065846;10.5%;;10.5%;;;
810;10.899661;0.010007;0.1%;;10.873207;0.037956;0.3%;;10.820988;0.015413;0.1%;;10.541262;0.046008;0.5%;;10.77475;1.304603;12.8%;;12.8%;;;
811;10.926585;0.010614;0.1%;;10.926818;0.032891;0.3%;;10.842375;0.015396;0.1%;;10.544722;0.039189;0.4%;;10.819747;1.767834;17.3%;;17.3%;;;
812;10.921161;0.007199;0.1%;;10.934852;0.02384;0.2%;;11.012745;0.019827;0.2%;;10.552229;0.04532;0.5%;;10.842796;2.392633;23.4%;;23.4%;;;
813;10.926116;0.005376;0.1%;;10.933523;0.030824;0.3%;;11.010463;0.019832;0.2%;;10.572482;0.047788;0.5%;;10.819787;3.164672;31.0%;;31.0%;;;
814;10.923781;0.005165;0.1%;;10.94612;0.025462;0.2%;;10.930506;0.014653;0.1%;;10.553137;0.071102;0.7%;;10.776772;4.019671;39.5%;;39.5%;;;
815;10.878188;0.001453;0.0%;;10.896831;0.024212;0.2%;;10.761968;0.014043;0.1%;;10.546234;0.073606;0.7%;;10.796592;4.598436;45.1%;;45.1%;;;
816;10.945701;0.007971;0.1%;;10.976851;0.032867;0.3%;;10.91774;0.024528;0.2%;;10.604277;0.066715;0.7%;;10.821837;5.46028;53.5%;;53.5%;;;
817;10.93331;0.012171;0.1%;;10.969078;0.03552;0.3%;;10.833707;0.028565;0.3%;;10.591031;0.10333;1.0%;;10.814581;6.163571;60.4%;;60.4%;;;
818;10.937755;0.007034;0.1%;;10.921425;0.034921;0.3%;;10.921425;0.020852;0.2%;;10.573725;0.110541;1.1%;;10.836761;6.707185;65.6%;;65.6%;;;
819;10.93962;0.007203;0.1%;;10.935071;0.035382;0.3%;;10.986627;0.017438;0.2%;;10.565328;0.117266;1.2%;;10.841814;7.123794;69.6%;;69.6%;;;
820;10.976668;0.00474;0.0%;;10.9595;0.028442;0.3%;;10.884681;0.017424;0.2%;;10.624863;0.077894;0.8%;;10.838047;7.364775;72.0%;;72.0%;;;
821;11.023134;0.003502;0.0%;;10.982929;0.020492;0.2%;;10.935721;0.014785;0.1%;;10.631461;0.047727;0.5%;;10.87269;7.646056;74.5%;;74.5%;;;
822;11.015358;0.004701;0.0%;;11.005695;0.029248;0.3%;;10.784244;0.031599;0.3%;;10.638787;0.029248;0.3%;;10.873034;7.81829;76.2%;;76.2%;;;
823;11.076037;0.008003;0.1%;;11.041891;0.012805;0.1%;;10.948254;0.025343;0.2%;;10.668679;0.044817;0.4%;;10.935983;7.997974;77.5%;;77.5%;;;
824;11.049787;0.006343;0.1%;;11.018475;0.022405;0.2%;;10.948562;0.025104;0.2%;;10.652713;0.030233;0.3%;;10.924268;8.061;78.2%;;78.2%;;;
825;11.013478;0.006099;0.1%;;10.982308;0.021413;0.2%;;10.889609;0.02575;0.2%;;10.648648;0.032526;0.3%;;10.838653;8.08962;79.1%;;79.1%;;;
826;11.04576;0.005477;0.1%;;11.016733;0.029027;0.3%;;10.918697;0.027658;0.2%;;10.66457;0.046006;0.5%;;10.932663;8.135486;78.9%;;78.9%;;;
827;11.007776;0.007317;0.1%;;10.995903;0.019328;0.2%;;10.956143;0.029544;0.3%;;10.644412;0.030925;0.3%;;10.871376;8.119639;79.2%;;79.2%;;;
828;10.993563;0.00824;0.1%;;10.974011;0.02402;0.2%;;11.065066;0.034913;0.3%;;10.605325;0.022345;0.2%;;10.876812;8.12472;79.2%;;79.2%;;;
829;10.9844;0.007337;0.1%;;10.982424;0.02963;0.3%;;10.92655;0.03471;0.3%;;10.673422;0.036121;0.4%;;10.907643;8.185953;79.6%;;79.6%;;;
830;11.019676;0.007555;0.1%;;11.011409;0.028509;0.3%;;10.974917;0.01682;0.1%;;10.649912;0.027369;0.3%;;10.900508;8.228978;80.0%;;80.0%;;;
831;10.999703;0.013266;0.1%;;10.967693;0.035182;0.3%;;10.88464;0.03028;0.3%;;10.62106;0.025377;0.3%;;10.852341;8.247759;80.6%;;80.6%;;;
832;11.075545;0.008674;0.1%;;11.058785;0.039693;0.4%;;11.092892;0.022052;0.2%;;10.718013;0.056452;0.6%;;10.965286;8.357965;80.8%;;80.8%;;;
833;11.041324;0.005327;0.1%;;11.022089;0.033144;0.3%;;11.065294;0.024266;0.2%;;10.707223;0.033144;0.3%;;10.916739;8.377687;81.3%;;81.3%;;;
834;11.003058;0.00567;0.1%;;10.989033;0.011637;0.1%;;11.138529;0.032824;0.3%;;10.692726;0.045356;0.5%;;10.917716;8.416411;81.7%;;81.7%;;;
835;11.093824;0.002275;0.0%;;11.074713;0.01274;0.1%;;11.061063;0.024267;0.2%;;10.72678;0;0.0%;;10.984317;8.490315;81.9%;;81.9%;;;
836;11.011881;0.011731;0.1%;;11.0131;0.022548;0.2%;;10.988724;0.035955;0.3%;;10.676406;0.05119;0.5%;;10.90676;8.459328;82.2%;;82.2%;;;
837;11.122057;0.006061;0.1%;;11.069838;0.009014;0.1%;;11.020727;0.051908;0.5%;;10.769578;0.049733;0.5%;;10.988712;8.535033;82.3%;;82.3%;;;
838;11.079938;0.006547;0.1%;;11.021014;0.011535;0.1%;;10.994201;0.04053;0.4%;;10.733563;0.027436;0.3%;;10.983913;8.535674;82.4%;;82.4%;;;
839;11.042307;0.013627;0.1%;;11.05023;0.019965;0.2%;;11.099032;0.024084;0.2%;;10.671854;0.058309;0.6%;;10.97766;8.555451;82.6%;;82.6%;;;
840;11.070677;0.010071;0.1%;;11.049576;0.0211;0.2%;;11.135896;0.023019;0.2%;;10.731791;0.023019;0.2%;;10.987234;8.570199;82.7%;100%;82.7%;0.50%;;
841;11.109625;0.009105;0.1%;;11.092716;0.020486;0.2%;;11.107999;0.033493;0.3%;;10.789002;0.013007;0.1%;;11.046216;8.625609;82.2%;100%;82.6%;;;
842;11.143183;0.004623;0.0%;;11.148467;0.020475;0.2%;;11.048405;0.027079;0.2%;;10.834742;0;0.0%;;11.017363;8.64428;81.5%;99%;82.4%;;;
843;11.11992;0.007625;0.1%;;11.073504;0.026523;0.2%;;11.145118;0.022545;0.2%;;10.790699;0.007957;0.1%;;10.947518;8.62573;81.1%;99%;82.3%;;;
844;11.176726;0.008236;0.1%;;11.15185;0.027901;0.3%;;11.219754;0.048407;0.4%;;10.823755;0.005379;0.1%;;11.030831;8.680972;80.6%;98%;82.2%;;;
845;11.159392;0.005806;0.1%;;11.169978;0.02049;0.2%;;11.048402;0.020832;0.2%;;10.848963;0.043713;0.4%;;11.051476;8.71677;79.9%;98%;81.9%;;;
846;11.150959;0.007426;0.1%;;11.105022;0.025904;0.2%;;11.234889;0.024523;0.2%;;10.797969;0.019342;0.2%;;11.043887;8.71595;79.3%;97%;81.7%;;;
847;11.256945;0.003505;0.0%;;11.193147;0.03225;0.3%;;11.290247;0.021383;0.2%;;10.878711;0.016826;0.2%;;11.109718;8.780193;78.5%;97%;81.3%;;;
848;11.226506;0.012714;0.1%;;11.178123;0.026487;0.2%;;11.029797;0.029665;0.3%;;10.902661;0.005651;0.1%;;11.126209;8.757497;77.6%;96%;80.8%;;;
849;11.207051;0.011601;0.1%;;11.202768;0.026057;0.2%;;11.290934;0.041763;0.4%;;10.94184;0;0.0%;;11.134948;8.743138;76.9%;96%;80.6%;;;
850;11.231001;0.00815;0.1%;;11.251647;0.035496;0.3%;;11.295112;0.034772;0.3%;;10.944494;0.005795;0.1%;;11.135378;8.718632;76.0%;95%;80.0%;;;
851;;;0.3%;;;;0.3%;;;;0.3%;;;;0.2%;;;;75.2%;95%;79.6%;;;
852;;;0.1%;;;;0.5%;;;;0.5%;;;;0.2%;;;;74.4%;94%;79.2%;;;
853;;;0.1%;;;;0.4%;;;;0.4%;;;;0.1%;;;;74.0%;94%;79.2%;;;
854;;;0.2%;;;;0.3%;;;;0.5%;;;;0.2%;;;;73.4%;93%;78.9%;;;
855;;;0.2%;;;;0.4%;;;;0.4%;;;;0.2%;;;;73.2%;93%;79.1%;;;
856;;;0.2%;;;;0.4%;;;;0.4%;;;;0.1%;;;;72.0%;92%;78.2%;;;
857;;;0.2%;;;;0.4%;;;;0.3%;;;;0.1%;;;;70.9%;92%;77.5%;;;
858;;;0.2%;;;;0.3%;;;;0.4%;;;;0.2%;;;;69.4%;91%;76.2%;;;
859;;;0.3%;;;;0.4%;;;;0.4%;;;;0.1%;;;;67.5%;91%;74.5%;;;
860;;;0.1%;;;;0.3%;;;;0.4%;;;;0.2%;;;;64.8%;90%;72.0%;;;
861;;;0.2%;;;;0.4%;;;;0.5%;;;;0.2%;;;;62.3%;90%;69.6%;;;
862;;;0.1%;;;;0.4%;;;;0.3%;;;;0.1%;;;;58.4%;89%;65.6%;;;
863;;;0.2%;;;;0.3%;;;;0.5%;;;;0.1%;;;;53.5%;89%;60.4%;;;
864;;;0.1%;;;;0.5%;;;;0.4%;;;;0.1%;;;;47.1%;88%;53.5%;;;
865;;;0.2%;;;;0.3%;;;;0.4%;;;;0.2%;;;;39.5%;88%;45.1%;;;
866;;;0.2%;;;;0.4%;;;;0.4%;;;;0.2%;;;;34.4%;87%;39.5%;;;
867;;;0.1%;;;;0.4%;;;;0.4%;;;;0.1%;;;;26.8%;87%;31.0%;;;
868;;;0.3%;;;;0.5%;;;;0.4%;;;;0.1%;;;;20.1%;86%;23.4%;;;
869;;;0.1%;;;;0.5%;;;;0.5%;;;;0.2%;;;;14.8%;86%;17.3%;;;
870;;;0.1%;;;;0.4%;;;;0.3%;;;;0.3%;;;;10.9%;85%;12.8%;;;
871;;;0.3%;;;;0.4%;;;;0.4%;;;;0.1%;;;;8.9%;85%;10.5%;;;
872;;;0.1%;;;;0.4%;;;;0.5%;;;;0.1%;;;;6.6%;84%;7.8%;;;
873;;;0.1%;;;;0.4%;;;;0.5%;;;;0.1%;;;;4.9%;84%;5.9%;;;
874;;;0.2%;;;;0.3%;;;;0.4%;;;;0.2%;;;;3.8%;83%;4.5%;;;
875;;;0.2%;;;;0.4%;;;;0.4%;;;;0.2%;;;;2.9%;83%;3.6%;;;
876;;;0.1%;;;;0.4%;;;;0.4%;;;;0.1%;;;;2.4%;82%;3.0%;;;
877;;;0.2%;;;;0.4%;;;;0.5%;;;;0.2%;;;;1.9%;82%;2.3%;;;
878;;;0.1%;;;;0.3%;;;;0.4%;;;;0.1%;;;;1.5%;81%;1.9%;;;
879;;;0.2%;;;;0.5%;;;;0.3%;;;;0.1%;;;;1.2%;81%;1.5%;;;
880;;;0.1%;;;;0.5%;;;;0.5%;;;;0.2%;;;;1.0%;80%;1.3%;;;
881;;;0.2%;;;;0.4%;;;;0.3%;;;;0.2%;;;;0.8%;80%;1.0%;;;
882;;;0.2%;;;;0.5%;;;;0.5%;;;;0.1%;;;;0.7%;79%;0.8%;;;
883;;;0.1%;;;;0.4%;;;;0.3%;;;;0.2%;;;;0.5%;79%;0.7%;;;
884;;;0.3%;;;;0.5%;;;;0.5%;;;;0.1%;;;;0.5%;78%;0.6%;;;
885;;;0.2%;;;;0.4%;;;;0.4%;;;;0.2%;;;;0.4%;78%;0.5%;;;
886;;;0.3%;;;;0.4%;;;;0.5%;;;;0.2%;;;;0.4%;77%;0.5%;;;
887;;;0.2%;;;;0.5%;;;;0.4%;;;;0.1%;;;;0.3%;77%;0.4%;;;
888;;;0.3%;;;;0.5%;;;;0.4%;;;;0.1%;;;;0.3%;76%;0.4%;;;
889;;;0.1%;;;;0.4%;;;;0.5%;;;;0.1%;;;;0.2%;76%;0.3%;;;
890;;;0.2%;;;;0.5%;;;;0.3%;;;;0.2%;;;;0.2%;75%;0.3%;;;
891;;;0.2%;;;;0.4%;;;;0.4%;;;;0.1%;;;;0.2%;75%;0.2%;;;
892;;;0.3%;;;;0.5%;;;;0.4%;;;;0.2%;;;;0.2%;74%;0.3%;;;
893;;;0.2%;;;;0.4%;;;;0.4%;;;;0.2%;;;;0.2%;74%;0.3%;;;
894;;;0.1%;;;;0.3%;;;;0.5%;;;;0.1%;;;;0.2%;73%;0.2%;;;
895;;;0.2%;;;;0.5%;;;;0.3%;;;;0.1%;;;;0.2%;73%;0.2%;;;
896;;;0.2%;;;;0.4%;;;;0.3%;;;;0.1%;;;;0.2%;72%;0.2%;;;
897;;;0.1%;;;;0.5%;;;;0.5%;;;;0.1%;;;;0.2%;72%;0.2%;;;
898;;;0.1%;;;;0.5%;;;;0.5%;;;;0.2%;;;;0.2%;71%;0.2%;;;
899;;;0.2%;;;;0.4%;;;;0.4%;;;;0.1%;;;;0.2%;71%;0.2%;;;
900;;;0.3%;;;;0.5%;;;;0.4%;;;;0.2%;;;;0.2%;70%;0.2%;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
