Wavlength (nm);475-20 REF;475-20;475-20 %;110%;560-20 REF;560-20;560-20 %;100%;668-10 REF;668-10;668-10 %;97%;717-10 REF;717-10;717-10 %;107%;840-40 REF;840-40;840-40 %;106%;;;;
466;1.745452;0.297562;18.8%;;1.751486;0.004615;0.3%;;1.748919;0.019948;1.1%;;1.733272;0.004503;0.3%;;1.746848;0.000929;0.1%;;;;;
467;1.780783;0.579425;35.8%;;1.782287;0.003862;0.2%;;1.792077;0.017358;0.9%;;1.765895;0.004671;0.3%;;1.779525;0.000561;0.0%;;;;;
468;1.800024;0.781052;47.7%;;1.80172;0.002991;0.2%;;1.813728;0.018011;1.0%;;1.786454;0.003214;0.2%;;1.793842;0.000737;0.0%;;;;;
469;1.822438;0.943831;57.0%;;1.827171;0.002578;0.1%;;1.834394;0.022668;1.2%;;1.80757;0.002489;0.1%;;1.816348;0.000717;0.0%;;;;;
470;1.846535;1.059612;63.1%;;1.851314;0.002926;0.2%;;1.852051;0.035264;1.8%;;1.831348;0.001787;0.1%;;1.84591;0.000664;0.0%;;;;;
471;1.864149;1.153654;68.1%;;1.869267;0.002915;0.2%;;1.878925;0.060975;3.1%;;1.852221;0.003739;0.2%;;1.864861;0.000478;0.0%;;;;;
472;1.89698;1.277881;74.1%;;1.900669;0.003422;0.2%;;1.90198;0.076235;3.9%;;1.880649;0.001244;0.1%;;1.898402;0.000633;0.0%;;;;;
473;1.921809;1.341029;76.8%;;1.920446;0.002682;0.1%;;1.922681;0.058821;3.0%;;1.908668;0.002145;0.1%;;1.921563;0.00062;0.0%;;;;;
474;1.943961;1.385687;78.4%;;1.95026;0.002181;0.1%;;1.955735;0.040974;2.0%;;1.927714;0.001246;0.1%;;1.94799;0.000857;0.0%;;;;;
475;1.961904;1.421927;79.7%;;1.966333;0.002337;0.1%;;1.978131;0.032255;1.6%;;1.944385;0.00089;0.0%;;1.963818;0.000829;0.0%;;;;;
