Wavlength (nm);Band 1;Band 2;Band 3;Band 5;Band 4
615;0.0%;0.2%;0.1%;0.0%;0.1%
616;0.0%;0.2%;0.1%;0.0%;0.1%
617;0.0%;0.2%;0.1%;0.0%;0.1%
618;0.0%;0.2%;0.1%;0.0%;0.1%
619;0.0%;0.2%;0.1%;0.0%;0.1%
620;0.0%;0.2%;0.1%;0.0%;0.1%
621;0.0%;0.2%;0.1%;0.1%;0.1%
622;0.0%;0.2%;0.1%;0.0%;0.1%
623;0.1%;0.2%;0.1%;0.1%;0.1%
624;0.1%;0.2%;0.1%;0.0%;0.1%
625;0.1%;0.2%;0.1%;0.0%;0.1%
626;0.0%;0.2%;0.1%;0.0%;0.1%
627;0.0%;0.2%;0.1%;0.0%;0.1%
628;0.0%;0.2%;0.1%;0.1%;0.1%
629;0.0%;0.2%;0.1%;0.1%;0.1%
630;0.0%;0.2%;0.1%;0.0%;0.1%
631;0.0%;0.2%;0.1%;0.0%;0.1%
632;0.0%;0.2%;0.1%;0.0%;0.1%
633;0.0%;0.2%;0.1%;0.0%;0.1%
634;0.0%;0.2%;0.1%;0.0%;0.1%
635;0.0%;0.2%;0.1%;0.0%;0.1%
636;0.0%;0.3%;0.1%;0.1%;0.1%
637;0.0%;0.2%;0.1%;0.1%;0.1%
638;0.0%;0.2%;0.1%;0.1%;0.1%
639;0.0%;0.2%;0.1%;0.1%;0.1%
640;0.0%;0.2%;0.1%;0.1%;0.1%
641;0.0%;0.3%;0.1%;0.1%;0.1%
642;0.0%;0.3%;0.1%;0.1%;0.1%
643;0.0%;0.3%;0.2%;0.0%;0.1%
644;0.0%;0.4%;0.1%;0.0%;0.1%
645;0.0%;0.4%;0.1%;0.0%;0.2%
646;0.1%;0.5%;0.1%;0.0%;0.2%
647;0.1%;0.5%;0.1%;0.1%;0.2%
648;0.1%;0.5%;0.2%;0.0%;0.3%
649;0.1%;0.6%;0.1%;0.1%;0.3%
650;0.0%;0.6%;0.2%;0.1%;0.2%
651;0.1%;0.6%;0.2%;0.0%;0.2%
652;0.0%;0.6%;0.2%;0.0%;0.1%
653;0.0%;0.5%;0.4%;0.0%;0.1%
654;0.0%;0.6%;0.4%;0.1%;0.1%
655;0.0%;0.6%;0.5%;0.1%;0.1%
656;0.0%;0.5%;0.7%;0.1%;0.0%
657;0.0%;0.5%;0.9%;0.2%;0.0%
658;0.0%;0.4%;1.4%;0.1%;0.0%
659;0.0%;0.4%;1.9%;0.1%;0.0%
660;0.0%;0.4%;3.1%;0.1%;0.0%
661;0.1%;0.5%;4.5%;0.1%;0.0%
662;0.0%;0.5%;7.9%;0.2%;0.0%
663;0.0%;0.4%;12.2%;0.2%;0.0%
664;0.0%;0.5%;19.0%;0.2%;0.0%
665;0.0%;0.5%;34.8%;0.1%;0.0%
666;0.0%;0.5%;47.8%;0.1%;0.0%
667;0.0%;0.5%;64.8%;0.1%;0.0%
668;0.0%;0.5%;72.8%;0.2%;0.0%
669;0.0%;0.4%;80.9%;0.2%;0.0%
670;0.0%;0.4%;84.6%;0.2%;0.0%
671;0.0%;0.4%;87.0%;0.2%;0.0%
672;0.0%;0.4%;85.5%;0.2%;0.0%
673;0.0%;0.4%;80.7%;0.2%;0.0%
674;0.1%;0.4%;74.4%;0.2%;0.0%
675;0.1%;0.4%;58.2%;0.2%;0.0%
676;0.0%;0.3%;43.3%;0.2%;0.0%
677;0.1%;0.4%;22.9%;0.2%;0.0%
678;0.1%;0.4%;13.6%;0.2%;0.0%
679;0.1%;0.4%;6.1%;0.2%;0.0%
680;0.1%;0.4%;3.7%;0.3%;0.0%
681;0.1%;0.5%;1.9%;0.3%;0.0%
682;0.1%;0.6%;1.3%;0.2%;0.0%
683;0.0%;0.6%;0.8%;0.2%;0.0%
684;0.1%;0.5%;0.6%;0.3%;0.0%
685;0.0%;0.6%;0.4%;0.2%;0.0%
686;0.0%;0.7%;0.4%;0.2%;0.0%
687;0.0%;0.6%;0.3%;0.3%;0.0%
688;0.0%;0.6%;0.3%;0.4%;0.0%
689;0.0%;0.6%;0.2%;0.4%;0.0%
690;0.0%;0.7%;0.2%;0.4%;0.0%
691;0.0%;0.6%;0.2%;0.2%;0.0%
692;0.0%;0.6%;0.2%;0.3%;0.0%
693;0.0%;0.6%;0.1%;0.1%;0.0%
694;0.0%;0.6%;0.1%;0.4%;0.0%
695;0.0%;0.6%;0.1%;0.3%;0.0%
696;0.1%;0.7%;0.1%;0.3%;0.0%
697;0.0%;0.7%;0.1%;0.3%;0.0%
698;0.0%;0.8%;0.2%;0.4%;0.0%
699;0.1%;1.0%;0.1%;0.4%;0.0%
700;0.0%;1.1%;0.2%;0.5%;0.0%
701;0.0%;1.2%;0.2%;0.6%;0.0%
702;0.1%;1.2%;0.1%;0.7%;0.0%
703;0.1%;1.1%;0.2%;1.1%;0.0%
704;0.0%;1.0%;0.1%;1.3%;0.0%
705;0.0%;0.8%;0.1%;1.8%;0.0%
706;0.0%;0.7%;0.1%;2.3%;0.0%
707;0.1%;0.6%;0.1%;3.3%;0.0%
708;0.1%;0.6%;0.1%;4.5%;0.0%
709;0.1%;0.4%;0.1%;7.1%;0.0%
710;0.1%;0.4%;0.1%;10.5%;0.0%
711;0.1%;0.3%;0.1%;19.5%;0.0%
712;0.1%;0.3%;0.1%;36.0%;0.0%
713;0.1%;0.2%;0.1%;50.6%;0.0%
714;0.1%;0.3%;0.1%;71.2%;0.0%
715;0.1%;0.3%;0.1%;79.4%;0.0%
716;0.1%;0.2%;0.1%;84.9%;0.1%
717;0.1%;0.2%;0.1%;85.3%;0.0%
718;0.1%;0.2%;0.1%;85.6%;0.0%
719;0.1%;0.2%;0.1%;86.0%;0.0%
720;0.1%;0.3%;0.1%;84.7%;0.0%
721;0.1%;0.3%;0.1%;79.1%;0.0%
722;0.1%;0.2%;0.1%;69.5%;0.0%
723;0.1%;0.3%;0.1%;47.5%;0.0%
724;0.1%;0.4%;0.1%;32.1%;0.1%
725;0.0%;0.3%;0.1%;15.1%;0.0%
726;0.0%;0.4%;0.1%;6.7%;0.0%
727;0.0%;0.5%;0.1%;4.0%;0.0%
728;0.0%;0.5%;0.1%;2.2%;0.0%
729;0.1%;0.6%;0.1%;1.5%;0.1%
730;0.0%;0.7%;0.1%;0.8%;0.1%
731;0.1%;0.8%;0.1%;0.6%;0.0%
732;0.1%;0.8%;0.1%;0.5%;0.1%
733;0.0%;0.7%;0.1%;0.5%;0.0%
734;0.0%;0.6%;0.1%;0.6%;0.0%
735;0.0%;0.6%;0.1%;0.5%;0.0%
736;0.0%;0.7%;0.0%;0.4%;0.0%
737;0.1%;0.6%;0.0%;0.3%;0.0%
738;0.0%;0.6%;0.1%;0.4%;0.1%
739;0.0%;0.5%;0.0%;0.4%;0.0%
740;0.0%;0.4%;0.1%;0.2%;0.0%
741;0.0%;0.5%;0.1%;0.2%;0.0%
742;0.0%;0.5%;0.1%;0.3%;0.0%
743;0.0%;0.5%;0.1%;0.2%;0.1%
744;0.0%;0.5%;0.1%;0.3%;0.1%
745;0.0%;0.6%;0.1%;0.3%;0.1%
746;0.0%;0.8%;0.1%;0.3%;0.0%
747;0.0%;0.9%;0.1%;0.2%;0.1%
748;0.0%;1.1%;0.1%;0.2%;0.1%
749;0.1%;1.4%;0.1%;0.2%;0.0%
750;0.0%;1.9%;0.1%;0.3%;0.0%
751;0.0%;2.1%;0.1%;0.3%;0.1%
752;0.0%;2.2%;0.1%;0.3%;0.1%
753;0.0%;1.9%;0.1%;0.3%;0.1%
754;0.0%;1.3%;0.0%;0.4%;0.0%
755;0.0%;1.0%;0.1%;0.3%;0.1%
756;0.0%;0.8%;0.1%;0.3%;0.1%
757;0.0%;0.6%;0.1%;0.2%;0.1%
758;0.3%;0.7%;0.3%;0.5%;0.3%
759;0.1%;0.5%;0.2%;0.3%;0.1%
760;0.0%;0.3%;0.2%;0.2%;0.1%
761;0.0%;0.3%;0.1%;0.3%;0.1%
762;0.0%;0.2%;0.2%;0.4%;0.1%
763;0.0%;0.2%;0.1%;0.4%;0.1%
764;0.0%;0.2%;0.1%;0.4%;0.1%
765;0.0%;0.2%;0.1%;0.3%;0.1%
766;0.1%;0.2%;0.1%;0.4%;0.1%
767;0.0%;0.2%;0.1%;0.4%;0.1%
768;0.1%;0.2%;0.1%;0.2%;0.1%
769;0.0%;0.2%;0.1%;0.4%;0.1%
770;0.1%;0.2%;0.1%;0.3%;0.1%
771;0.1%;0.1%;0.1%;0.3%;0.1%
772;0.0%;0.1%;0.2%;0.4%;0.1%
773;0.0%;0.1%;0.1%;0.3%;0.1%
774;0.0%;0.2%;0.1%;0.4%;0.1%
775;0.0%;0.2%;0.1%;0.4%;0.1%
776;0.0%;0.2%;0.2%;0.4%;0.2%
777;0.0%;0.2%;0.1%;0.3%;0.2%
778;0.0%;0.1%;0.1%;0.3%;0.2%
779;0.1%;0.1%;0.2%;0.5%;0.2%
780;0.1%;0.2%;0.2%;0.4%;0.2%
781;0.0%;0.2%;0.2%;0.3%;0.2%
782;0.0%;0.2%;0.1%;0.2%;0.2%
783;0.0%;0.1%;0.1%;0.1%;0.2%
784;0.0%;0.2%;0.1%;0.4%;0.2%
785;0.0%;0.2%;0.1%;0.3%;0.2%
786;0.1%;0.3%;0.2%;0.1%;0.2%
787;0.1%;0.2%;0.2%;0.3%;0.3%
788;0.1%;0.2%;0.2%;0.4%;0.3%
789;0.1%;0.2%;0.2%;0.4%;0.2%
790;0.1%;0.2%;0.1%;0.5%;0.3%
791;0.0%;0.2%;0.2%;0.3%;0.3%
792;0.1%;0.2%;0.1%;0.3%;0.4%
793;0.0%;0.2%;0.1%;0.3%;0.4%
794;0.1%;0.3%;0.1%;0.5%;0.5%
795;0.0%;0.4%;0.1%;0.2%;0.5%
796;0.0%;0.4%;0.2%;0.2%;0.6%
797;0.1%;0.3%;0.1%;0.3%;0.7%
798;0.1%;0.5%;0.1%;0.4%;0.8%
799;0.1%;0.4%;0.1%;0.3%;1.0%
800;0.1%;0.5%;0.2%;0.2%;1.3%
801;0.1%;0.4%;0.2%;0.2%;1.5%
802;0.0%;0.5%;0.2%;0.1%;1.9%
803;0.1%;0.5%;0.2%;0.2%;2.3%
804;0.1%;0.5%;0.1%;0.4%;3.0%
805;0.1%;0.5%;0.1%;0.4%;3.6%
806;0.1%;0.4%;0.1%;0.5%;4.5%
807;0.1%;0.4%;0.2%;0.4%;5.9%
808;0.0%;0.4%;0.1%;0.4%;7.8%
